brand,brand_type,age_range,style_positioning,price_signal,channel_signal,content_signal,key_evidence,overlap_with_xiaoluli,competition_level,confidence,notes
小鹿梨,目标品牌,0-12岁(第三方),学院风/校园风/少女感/原创/高品质,89-358元片段,淘宝/抖音线索明显,学院风/JK/元气少女,抖音搜索摘要+淘宝店铺片段+第三方原创童装文章,基准对象,-,low,需补官方介绍页与平台数据
幼岚,原创设计品牌,2-6岁起步并扩展,舒适/植物基/场景化/中端,中端,线上强/内容电商强,年轻父母/舒适场景化,数英专访+百科/企查查类线索,与小鹿梨同属原创设计和年轻父母审美赛道,核心直接竞品,medium,建议补淘宝/抖音/小红书数据
MQD,成熟设计感品牌,3-12岁,都市童装/设计感/严选面料,中高端倾向,官网+榜单,设计感童装,官网+CNPP榜单,年龄段和设计感高度重合,核心直接竞品,high,建议补电商价格样本
LITTLE HONG,原创设计师品牌,0-12岁,东方美学/艺术化/生活方式,中高端倾向,品牌活动与资料页,文化叙事/审美表达,百度百科+活动报道,原创设计和中高端家庭审美重合,核心直接竞品,medium,建议补店铺与内容平台数据
笛莎,女童垂直品牌,3-12岁,公主风/优雅/精致/学院风元素,中端,线上线下较强,女童穿搭友好,百度百科+CNPP资料,若小鹿梨偏女童则重合提升,强相关竞品,medium,建议补抖音与价格带样本
dave&bella,品质型电商品牌,0-12岁(婴幼童更强),北欧/简洁时尚/亲肤,中高端,电商强,高颜值/品质型,百度百科+榜单资料,中高品质与线上强势重合,强相关竞品,medium,偏婴幼童更强
MINI PEACE,中高端时尚品牌,3-10岁,时尚/潮流/个性,中高端,大品牌体系,时尚童装,榜单资料,在时尚中高端童装上有交集,次级竞品,low,需补更多品牌证据
安奈儿,品质信任型品牌,0-12岁,中高端/简约优雅/舒适科技,中高端,品牌力和渠道较强,品质科技叙事,榜单资料,品质信任型家长心智存在交集,次级竞品,low,需补官方品牌资料
巴拉巴拉,头部大众品牌,0-14岁,大众全品类/强渠道,大众到中端,全渠道强,国民级品牌,榜单资料,预算与流量分流明显,市场压力竞品,medium,不是最贴脸风格竞品
小猪班纳,大众品牌,0-15岁,休闲/运动/时尚/健康,大众到中端,本土广覆盖,大众童装,榜单资料,市场预算分流,市场压力竞品,low,不属于高贴脸审美竞品
英氏,婴幼童/母婴品牌,婴幼童更强,亲肤/母婴渠道,中高端,母婴渠道强,母婴导向,中商情报网榜单,若小鹿梨向低龄延伸才更相关,观察名单,low,暂不属核心对手
